Code,Name,Proportion of neighbourhoods in 20% most clinically vulnerable,Extent of population living in highly clinically vulnerable areas,Population-weighted clinical vulnerability score,Proportion of neighbourhoods in 20% most health/wellbeing vulnerable,Extent of population living in highly health/wellbeing vulnerable areas,Population-weighted health/wellbeing vulnerability score,Proportion of neighbourhoods in 20% most economically vulnerable,Extent of population living in highly economically vulnerable areas,Population-weighted economic vulnerability score,Proportion of neighbourhoods in 20% most socially vulnerable,Extent of population living in highly socially vulnerable areas,People receiving Section 95 support,Social Vulnerability score,Social Vulnerability rank,Social Vulnerability decile,Vulnerability score,Vulnerability rank,Vulnerability decile,Country,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Vulnerability quintile,TacticalCell
E07000028,Carlisle,0.6923076923076923,0.6851177044440657,0.8793719912390989,0.38461538461538464,0.31001234368270025,0.516235681084393,0.3076923076923077,0.3825718077473847,0.41103999560824567,0,0,NA,-1.2932057099975043,21,1,134.65541735406396,261,9,England,5,5,4,1,5,North
E08000001,Bolton,0,0.030209460670725625,0.10061343029089138,0.08571428571428572,0.08975649143463342,-0.1404311093863724,0.42857142857142855,0.42762406336475306,0.5132247745779716,0.45714285714285713,0.46876294247877376,917,1.4514395090816756,302,10,127.74683975167488,254,9,England,3,3,4,5,5,North
E08000004,Oldham,0.06060606060606061,0.07938240771330292,0.10234967892424589,0.09090909090909091,0.08056726210938658,-0.08448991386211463,0.48484848484848486,0.5720693203706099,0.8084931635894105,0.3333333333333333,0.3047042364955436,657,1.1950040381739946,282,9,133.1662951899075,259,9,England,3,3,5,5,5,North
E08000005,Rochdale,0,0.05711231216891596,0.31174254963121856,0.12,0.1141608686467693,-0.08017662542064233,0.56,0.5771045179459711,0.8095426722599359,0.36,0.377716835736871,838,1.287765693610574,289,10,143.47810910450838,271,9,England,4,3,5,5,5,North
E08000006,Salford,0.06666666666666667,0.04857897136634234,-0.11432820126829175,0.23333333333333334,0.2872310370908561,-0.0693008978549695,0.6,0.5128885697900927,0.6540843513298986,0.5666666666666667,0.555286059359272,761,1.4732366553007072,305,10,137.18664540624286,264,9,England,3,3,5,5,5,North
E08000008,Tameside,0.2,0.17785356587203294,0.4140346475595186,0.16666666666666666,0.15278653099753828,0.015785327775053846,0.4666666666666667,0.5255637111179615,0.79499689701372,0.5,0.4860153203873193,519,1.3859324659787335,296,10,149.8474816924762,282,9,England,4,3,5,5,5,North
E08000012,Liverpool,0.18032786885245902,0.16970739988848543,0.13627266346281727,0.14754098360655737,0.1338990748889588,-0.20220680567264537,0.6557377049180327,0.6228881750995005,0.8004277032849128,0.4262295081967213,0.38968922506341025,1476,1.407808135972303,298,10,141.20262611574523,268,9,England,3,2,5,5,5,North
E08000014,Sefton,0.8421052631578947,0.7282877823398421,0.8864469656683085,0.39473684210526316,0.40142177083182035,0.48325977528329894,0.34210526315789475,0.4087183546601984,0.6297828205500567,0.05263157894736842,0.06686515914690501,168,-0.20162741965397057,133,5,153.5143163255463,284,9,England,5,4,5,3,5,North
E08000015,Wirral,0.5714285714285714,0.5167457438900978,0.7660373258110321,0.3333333333333333,0.30720712403310935,0.3773646826654426,0.5476190476190477,0.5268230218685607,0.7491757932772644,0,0,194,-0.17433790786498327,138,5,144.3745558494717,273,9,England,5,4,5,3,5,North
E08000016,Barnsley,0.4,0.292705570405649,0.604546920191119,0.13333333333333333,0.14017893307283597,0.04841504327475768,0.7,0.6699851527685031,0.9321361892753062,0.03333333333333333,0.026686218991620336,418,0.41215211488261017,212,7,147.6982040477779,280,9,England,4,3,5,4,5,North
E08000017,Doncaster,0.4358974358974359,0.3986937778396955,0.5888223020540929,0.15384615384615385,0.15788592372792018,0.0543395524166167,0.5384615384615384,0.5379695228952842,0.7165368858348293,0.15384615384615385,0.15983716415679344,319,0.9276601786849807,263,9,133.2074571864903,260,9,England,4,3,5,4,5,North
E08000022,North Tyneside,0.6333333333333333,0.512033924289326,0.7405676335209098,0.26666666666666666,0.2667153203541903,0.34997336386318145,0.3,0.3350191314390547,0.44441970851954976,0.03333333333333333,0.03192522960920762,259,0.3166551827408499,201,7,129.7030913104227,255,9,England,5,4,4,4,5,North
E06000002,Middlesbrough,0,0,0.027161123444482318,0.2631578947368421,0.22633883884352451,0.1439583132935462,0.6842105263157895,0.6915091813635266,0.841577626648713,0,0.022569227686955472,544,0.5894630519923477,236,8,126.77043350538545,253,8,England,3,3,5,4,4,North
E06000008,Blackburn with Darwen,0,0.031641970841351875,0.11569358237485287,0.1111111111111111,0.10506760314329351,-0.25284063767402626,0.7222222222222222,0.6448765821241613,0.8171934308019673,0,0.023418794599664006,317,0.6221620431448341,240,8,116.18443856318856,238,8,England,3,2,5,4,4,North
E07000124,Ribble Valley,0.375,0.5670378491310447,0.7765893668259924,0.375,0.3468149556167255,0.5907436828571895,0,0,-0.5890051811629016,0,0,21,-0.55360126580664,95,4,110.07692698890388,227,8,England,5,5,2,2,4,North
E08000002,Bury,0.038461538461538464,0.0323278153249178,0.06677284916041583,0.2692307692307692,0.2784211439923899,0.25963220887371335,0.2692307692307692,0.28219733547579046,0.3704911308974303,0.2692307692307692,0.2675766710999731,405,1.020410928041763,267,9,111.37431188879145,230,8,England,3,4,4,5,4,North
E08000003,Manchester,0,0.005146957980331021,-0.6982094996886256,0.05263157894736842,0.03497342072922666,-0.6973200731511883,0.543859649122807,0.5236275305713753,0.6362720522229616,0.3684210526315789,0.35138693615218114,889,1.4187034372578797,299,10,111.11445668221324,229,8,England,2,1,5,5,4,North
E08000010,Wigan,0.45,0.39429949648722523,0.6439881150737483,0.1,0.07862529682010279,-0.13814747480457867,0.425,0.42119364130315484,0.638156393251925,0.075,0.07608675862763555,844,0.8077049849616271,253,8,121.78206510692877,246,8,England,4,3,5,4,4,North
E08000032,Bradford,0.06557377049180328,0.07528572339774495,-0.02182810061020292,0.16393442622950818,0.15724394679475504,-0.09184113180264564,0.4098360655737705,0.3671182918920465,0.45737542758584226,0.4098360655737705,0.41684768417740947,1168,1.4023484886417381,297,10,118.95636839300809,243,8,England,3,3,4,5,4,North
E08000034,Kirklees,0.06779661016949153,0.06817606752934596,0.06613018089597165,0.13559322033898305,0.1180118184033159,-0.0815358287991678,0.2711864406779661,0.26415193694964123,0.3512985857488008,0.4576271186440678,0.459500842929178,738,1.3695840610104701,293,10,112.70925688878793,232,8,England,3,3,4,5,4,North
E06000004,Stockton-on-Tees,0.2916666666666667,0.2760558781355024,0.40360932675294514,0.25,0.20128786748604968,0.33681361271998633,0.5,0.47749573197240386,0.4381602470998943,0,0,732,0.1639639171937004,184,6,104.72006841181874,212,7,England,4,4,4,3,4,North
E06000011,East Riding of Yorkshire,0.4186046511627907,0.3978127335275063,0.7327890877850607,0.4186046511627907,0.3276129974804213,0.36530408936945913,0.11627906976744186,0.12713751959267688,-0.19096183265084818,0.06976744186046512,0.10973319400074324,1,-0.14463157690088568,142,5,97.5132034374717,202,7,England,5,4,3,3,4,North
E07000030,Eden,1,0.8595064489384805,0.9330101487322622,0.14285714285714285,0.17273968662508368,0.1722877210300673,0,0.06021210483518604,-0.37346470981820257,0,0,NA,-0.9113314046603517,57,2,94.9752545724426,194,7,England,5,4,2,2,4,North
E07000031,South Lakeland,0.42857142857142855,0.3701633043117494,0.6232696895222818,0.6428571428571429,0.5641120724552743,0.6945904864948291,0,0.0040609574101710426,-0.41082133128405873,0,0,NA,-1.3368414455387958,17,1,106.7667710925743,218,7,England,4,5,2,1,4,North
E07000122,Pendle,0,0.10165365824166014,0.32012301379788416,0.23076923076923078,0.21979852535995092,0.055438922987331885,0.5384615384615384,0.4744103023271213,0.53713121125429,0.15384615384615385,0.19568841967069636,49,0.526582224796617,229,8,103.70379220458237,211,7,England,4,3,4,4,4,North
E07000125,Rossendale,0,0.031168778141135316,0.43668461507966144,0.25,0.15849414070474868,0.08755609528724351,0.375,0.25069335303135465,0.4051487310544503,0.125,0.12666990842647205,97,0.3465949038126021,204,7,95.26936908926453,195,7,England,4,3,4,4,4,North
E07000127,West Lancashire,0.4666666666666667,0.4143046219661519,0.6304860132695133,0.3333333333333333,0.30815789704627783,0.3002926098613188,0.26666666666666666,0.28145523089507724,0.2836538454483265,0,0,95,-0.3980547566765433,109,4,96.37693126810981,198,7,England,4,4,4,2,4,North
E07000165,Harrogate,0.19047619047619047,0.172746495473795,0.4654432624094684,0.6190476190476191,0.6057901523444762,0.6664658497268791,0.047619047619047616,0.06012492266715451,-0.4939431394850615,0,0,1,-0.9520137419005232,54,2,94.05485567048228,193,7,England,4,5,2,1,4,North
E08000019,Sheffield,0.2857142857142857,0.2563332936981719,0.07462123336350897,0.22857142857142856,0.21721225098743052,0.07925335144582879,0.34285714285714286,0.315002185656276,0.1365329655257273,0.21428571428571427,0.22718931560135727,851,1.0204654584407478,268,9,96.16267997978537,197,7,England,3,3,3,5,4,North
E08000021,Newcastle upon Tyne,0.06896551724137931,0.10385139603529202,-0.15317814209066208,0.20689655172413793,0.17968074892824404,0.05807107358735526,0.5517241379310345,0.4294109076806662,0.4415474303500606,0,0.05124926276236367,970,0.7204356950950037,247,8,93.85308935234414,192,7,England,3,3,4,4,4,North
E08000033,Calderdale,0,0.0028369498827274953,0.14793208349343537,0.2222222222222222,0.14931360135566113,-0.089333535303862,0.3333333333333333,0.29559629347738403,0.47833464871423703,0.14814814814814814,0.1196533659287927,336,0.8076482733466831,252,8,100.25290259617532,208,7,England,3,3,4,4,4,North
E08000036,Wakefield,0.15555555555555556,0.16316022857589138,0.4644153770377494,0.06666666666666667,0.07002674915135204,-0.10609424785861034,0.4,0.3683712945728937,0.46697245724907244,0.06666666666666667,0.1122238252323695,330,0.8567436562185394,257,9,107.2840299182858,221,7,England,4,3,4,4,4,North
